Language, English, German, Russian
v352, "Vote Menu", "Vote Menu", "Vote Menu"
v355, "Storage", "Storage", "Storage"
v356, "<t color='#C9CBCB'>Storage (Cop)</t>", "<t color='#C9CBCB'>Storage (Cop)</t>", "<t color='#C9CBCB'>Storage (Cop)</t>"
v357, "<t color='#0080FF'>[Menu]</t>", "[Player Menu]", "[Player Menu]"
v358, "[Siren On/Off]", "[Siren On/Off]", "[Siren On/Off]"
v359, "Teleport (On)", "Teleport (On)", "Teleport (On)"
v360, "Teleport (Off)", "Teleport (Off)", "Teleport (Off)"
v361, "Start Working", "Start Working", "Start Working"
v362, "Stop Working", "Stop Working", "Stop Working"
v363, "Buy Workers", "Buy Workers", "Buy Workers"
v364, "[Stats]", "[Stats]", "[Stats]"
v365, "<t color='#0080FF'>[Animations]</t>", "[Animations]", "[Animations]"
v366, "You must enter a valid amount!", "You must enter a valid amount!", "You must enter a valid amount!"
v367, "Your armor broke!", "Your armor broke!", "Your armor broke!"
v368, "You gained $%1 from being inside a workplace!", "You gained $%1 from being inside a workplace!", "You gained $%1 from being inside a workplace!"
v369, "Someone else is already robbing the bank!", "Someone else is already robbing the bank!", "Someone else is already robbing the bank!"
v370, "The bank has been recently robbed of $%1!", "The bank has been recently robbed of $%1!", "The bank has been recently robbed of $%1!"
v371, "You are robbing the bank, to get the money, wait %1 seconds before leaving the area!", "You are robbing the bank, to get the money, wait %1 seconds before leaving the area!", "You are robbing the bank, to get the money, wait %1 seconds before leaving the area!"
v372, "You stole $%1 from the vault and are now wanted!", "You stole $%1 from the vault and are now wanted!", "You stole $%1 from the vault and are now wanted!"
v373, "You are too far away and have lost the bag!", "You are too far away and have lost the bag!", "You are too far away and have lost the bag!"
v374, "The vault was empty and now you are wanted!", "The vault was empty and now you are wanted!", "The vault was empty and now you are wanted!"
v375, "You must be armed to do this!", "You must be armed to do this!", "You must be armed to do this!"
v376, "!!!THE BANK IS BEING ROBBED!!! !!!ALL COPS RESPOND!!!", "The bank is being robbed!", "The bank is being robbed!"
v377, "The bank has been secured and is ready to serve the public again!", "The bank has been secured and is ready to serve the public again!", "The bank has been secured and is ready to serve the public again!"
v378, "%1 you earned $%2. \nAccount Balance: $%3", "%1 you earned $%2. \nAccount Balance: $%3", "%1 you earned $%2. \nAccount Balance: $%3"
v379, "Your bank account is maxed out!", "Your bank account is maxed out!", "Your bank account is maxed out!"
v380, "You lost $%1 due to this!", "You lost $%1 due to this!", "You lost $%1 due to this!"
v381, "You have obtained %1 units of %2!", "You have obtained %1 units of %2!", "You have obtained %1 units of %2!"
v382, "%1 just purchased %2!", "%1 just purchased %2!", "%1 just purchased %2!"
v383, "You already own this shop!", "You already own this shop!", "You already own this shop!"
v384, "Driver: %1 \nVehicle: %2 \nDamage: %3 \nSpeed: %4 \nFuel: %5 \nRegistration: %6 \nPassengers: %7", "Driver: %1 \nVehicle: %2 \nDamage: %3 \nSpeed: %4 \nFuel: %5 \nRegistration: %6 \nPassengers: %7", "Driver: %1 \nVehicle: %2 \nDamage: %3 \nSpeed: %4 \nFuel: %5 \nRegistration: %6 \nPassengers: %7"
v385, "Gave you a shitload of shit...", "Gave you a shitload of shit...", "Gave you a shitload of shit..."
v386, "You must select at least one crime!", "You must select at least one crime!", "You must select at least one crime!"
v387, "You unbundled %1 rolls of Cash and now have $%2 single units!", "You unbundled %1 rolls of Cash and now have $%2 single units!", "You unbundled %1 rolls of Cash and now have $%2 single units!"
v388, "You unbagged %1 bags of Cash and now have $%2 single units!", "You unbagged %1 bags of Cash and now have $%2 single units!", "You unbagged %1 bags of Cash and now have $%2 single units!"
v389, "Adding %1 units of %2 would put you over the inventory limit of %3kg!", "Adding %1 units of %2 would put you over the inventory limit of %3kg!", "Adding %1 units of %2 would put you over the inventory limit of %3kg!"
v390, "You refused the ticket!", "You refused the ticket!", "You refused the ticket!"
v391, "%1 refused your ticket!", "%1 refused your ticket!", "%1 refused your ticket!"
v392, "%1 didnt have enough cash to pay the ticket!", "%1 didnt have enough cash to pay the ticket!", "%1 didnt have enough cash to pay the ticket!"
v393, "%1 paid his ticket!", "%1 paid his ticket!", "%1 paid his ticket!"
v394, "You paid %1 (%2) a $%3 ticket!", "You paid %1 (%2) a $%3 ticket!", "You paid %1 (%2) a $%3 ticket!"
v395, "You ticketed %1 for $%2.", "You ticketed %1 for $%2.", "You ticketed %1 for $%2."
v396, "You arrested %1 for %2 minute(s).", "You arrested %1 for %2 minute(s).", "You arrested %1 for %2 minute(s)."
v397, "You've been arrested by %1 (%2)!", "You've been arrested by %1 (%2)!", "You've been arrested by %1 (%2)!"
v398, "Your key(s) were restored from the last session!", "Your key(s) were restored from the last session!", "Your key(s) were restored from the last session!"
v399, "You can't give yourself your own key(s)!", "You can't give yourself your own key(s)!", "You can't give yourself your own key(s)!"
v400, "%1 (%2) escaped from jail!", "%1 (%2) escaped from jail!", "%1 (%2) escaped from jail!"
v401, "<t color='#FF0000' align='center'>You paid</t> <t color='#09c100' align='center'>$%1</t> <t color='#FF0000' align='center'>in income taxes!</t> <t color='#25a725' align='center'>(%2)</t>", "<t color='#FF0000' align='center'>You paid</t> <t color='#09c100' align='center'>$%1</t> <t color='#FF0000' align='center'>in income taxes!</t> <t color='#25a725' align='center'>(%2)</t>", "<t color='#FF0000' align='center'>You paid</t> <t color='#09c100' align='center'>$%1</t> <t color='#FF0000' align='center'>in income taxes!</t> <t color='#25a725' align='center'>(%2)</t>"
v402, "<t color='#FF0000' align='center'>You didn't have to pay any income taxes!</t> <t color='#25a725' align='center'>(%1)</t>", "<t color='#FF0000' align='center'>You didn't have to pay any income taxes!</t> <t color='#25a725' align='center'>(%1)</t>", "<t color='#FF0000' align='center'>You didn't have to pay any income taxes!</t> <t color='#25a725' align='center'>(%1)</t>"
v403, "You can only hold $%1 on your person!", "You can only hold $%1 on your person!", "You can only hold $%1 on your person!"
v404, "%1 is already in jail!", "%1 is already in jail!", "%1 is already in jail!"
v405, "You can't update system messages!", "You can't update system messages!", "You can't update system messages!"
v406, "There is a federal deficit and funds could not be allocated!", "There is a federal deficit and funds could not be allocated!", "There is a federal deficit and funds could not be allocated!"
v407, "Funds have been reallocated to government after additional bounty for %1 removal!", "Funds have been reallocated to government after additional bounty for %1 removal!", "Funds have been reallocated to government after additional bounty for %1 removal!"
v408, "Time Left: %1 Seconds", "Time Left: %1 Seconds", "Time Left: %1 Seconds"
v409, "You are now free, please behave and have a nice day!", "You are now free, please behave and have a nice day!", "You are now free, please behave and have a nice day!"
v410, "You escaped from jail and are now wanted!", "You escaped from jail and are now wanted!", "You escaped from jail and are now wanted!"
v411, "You can only drop other vehicles into the %1!", "You can only drop other vehicles into the %1!", "You can only drop other vehicles into the %1!"
v412, "There are too many vehicles nearby to spawn %1!", "There are too many vehicles nearby to spawn %1!", "There are too many vehicles nearby to spawn %1!"
v413, "A few trunk items were lost due to merge of contents with new vehicle!", "A few trunk items were lost due to merge of contents with new vehicle!", "A few trunk items were lost due to merge of contents with new vehicle!"
v414, "Target vehicle merged %1 units of %2!", "Target vehicle merged %1 units of %2!", "Target vehicle merged %1 units of %2!"
v415, "A few trunk items were lost due to merge of contents with storage!", "A few trunk items were lost due to merge of contents with storage!", "A few trunk items were lost due to merge of contents with storage!"
v416, "%1 is jailed and cannot be ticketed!", "%1 is jailed and cannot be ticketed!", "%1 is jailed and cannot be ticketed!"
v417, "You have no bail and are thus ineligable for early release!", "You have no bail and are thus ineligable for early release!", "You have no bail and are thus ineligable for early release!"
v418, "Failed to release as there is a vehicle blocking the spawn!", "Failed to release as there is a vehicle blocking the spawn!", "Failed to release as there is a vehicle blocking the spawn!"
v419, "None", "None", "None"
v420, "none", "none", "none"
v421, "Rules", "Rules", "Rules"
v422, "You paid $%1 of your $%2 bail!", "You paid $%1 of your $%2 bail!", "You paid $%1 of your $%2 bail!"
v423, "You have been paroled for paying 75 percent of your bail!", "You have been paroled for paying 75 percent of your bail!", "You have been paroled for paying 75 percent of your bail!"
v424, "Yes", "Yes", "Yes"
v425, "No", "No", "No"
v426, "%1 was arrested by %2 (%3)!", "%1 was arrested by %2 (%3)!", "%1 was arrested by %2 (%3)!"
v427, "The bank has been recently robbed!", "The bank has been recently robbed!", "The bank has been recently robbed!"
v428, "You're already busy raiding the other vault!", "You're already busy raiding the other vault!", "You're already busy raiding the other vault!"
v429, "Someone is robbing the bank!", "Someone is robbing the bank!", "Someone is robbing the bank!"
v430, "You lost control over %1!", "You lost control over %1!", "You lost control over %1!"
v431, "You are already looting another vault!", "You are already looting another vault!", "You are already looting another vault!"
v432, "You removed %1's bounty!", "You removed %1's bounty!", "You removed %1's bounty!"
v433, "Your bounty was removed by %1!", "Your bounty was removed by %1!", "Your bounty was removed by %1!"
v434, "You can't unjail yourself!", "You can't unjail yourself!", "You can't unjail yourself!"
v435, "You can't remove your own bounty!", "You can't remove your own bounty!", "You can't remove your own bounty!"
v436, "%1 is not jailed!", "%1 is not jailed!", "%1 is not jailed!"
v437, "%1 is not wanted!", "%1 is not wanted!", "%1 is not wanted!"
v438, "You can't impound your own vehicle!", "You can't impound your own vehicle!", "You can't impound your own vehicle!"
v439, "[Vehicle Actions]", "[Vehicle Actions]", "[Vehicle Actions]"
v440, "<t color='#F60808'>[Lock/Unlock] </t>", "[Lock/Unlock]", "[Lock/Unlock]"
v441, "Stats saved in %1 seconds", "Stats saved in %1 seconds", "Stats saved in %1 seconds"
v442, "Player Actions (%1)", "Player Actions (%1)", "Player Actions (%1)"
v443, "<t color='#ffc000'>Bank Balance: </t><t color='#09c100'>$%1</t>", "<t color='#ffc000'>Bank Balance: </t><t color='#09c100'>$%1</t>", "<t color='#ffc000'>Bank Balance: </t><t color='#09c100'>$%1</t>"
v444, "You don't have the $%1 impound fee!", "You don't have the $%1 impound fee!", "You don't have the $%1 impound fee!"
v445, "The impound fee of $%1 was taken from your inventory!", "The impound fee of $%1 was taken from your inventory!", "The impound fee of $%1 was taken from your inventory!"
v446, "There are no free spawn points for the vehicle!", "There are no free spawn points for the vehicle!", "There are no free spawn points for the vehicle!"
v447, "%1 is being transferred to jail, please wait a few seconds!", "%1 is being transferred to jail, please wait a few seconds!", "%1 is being transferred to jail, please wait a few seconds!"
v448, "You collected half %1's bounty of $%2 whereas the government got the rest!", "You collected half %1's bounty of $%2 whereas the government got the rest!", "You collected half %1's bounty of $%2 whereas the government got the rest!"
v449, "Patrol Shop", "Patrol Shop", "Patrol Shop"
v450, "Police Item Shop", "Police Item Shop", "Police Item Shop"
v451, "SRU Shop", "SRU Shop", "SRU Shop"
v452, "Mayor Menu", "Mayor Menu", "Mayor Menu"
v453, "Vote Menu (Chief)", "Vote Menu (Chief)", "Vote Menu (Chief)"
v454, "Vote Menu (Mayor)", "Vote Menu (Mayor)", "Vote Menu (Mayor)"
v455, "Voting is closed, try again later!", "Voting is closed, try again later!", "Voting is closed, try again later!"
v456, "Voting is now open!", "Voting is now open!", "Voting is now open!"
v457, "Voting is now closed!", "Voting is now closed!", "Voting is now closed!"
v458, "%1 has pulled out of their bid for the %2 incumbancy!", "%1 has pulled out of their bid for the %2 incumbancy!", "%1 has pulled out of their bid for the %2 incumbancy!"
v459, "%1 has entered for the %2 incumbancy bid!", "%1 has entered for the %2 incumbancy bid!", "%1 has entered for the %2 incumbancy bid!"
v460, "Chief", "Chief", "Chief"
v461, "Mayoral", "Mayoral", "Mayoral"
v462, "You've already voted for %1!", "You've already voted for %1!", "You've already voted for %1!"
v463, "You voted for %1!", "You voted for %1!", "You voted for %1!"
v464, "You withdrew your vote for %1!", "You withdrew your vote for %1!", "You withdrew your vote for %1!"
v465, "%1 won the %2 candidacy!", "%1 won the %2 candidacy!", "%1 won the %2 candidacy!"
v466, "Law is unchanged!", "Law is unchanged!", "Law is unchanged!"
v467, "Law %1 was updated successfully!", "Law %1 was updated successfully!", "Law %1 was updated successfully!"
v468, "You were auto-jailed for killing in a DMZ!", "You were auto-jailed for killing in a DMZ!", "You were auto-jailed for killing in a DMZ!"
v469, "As a result", "As a result", "As a result"
v470, "%1 was revoked!", "%1 was revoked!", "%1 was revoked!"
v471, "$%1 was taken from your pocket to create the group!", "$%1 was taken from your pocket to create the group!", "$%1 was taken from your pocket to create the group!"
v472, "You must have $%1 to do this!", "You must have $%1 to do this!", "You must have $%1 to do this!"
v473, "The unit limit is %1!", "The unit limit is %1!", "The unit limit is %1!"
v474, "The fee limit is $%1!", "The fee limit is $%1!", "The fee limit is $%1!"
v475, "You don't have the correct weapon to do this!", "You don't have the correct weapon to do this!", "You don't have the correct weapon to do this!"
v476, "You don't have the correct magazines to do this!", "You don't have the correct magazines to do this!", "You don't have the correct magazines to do this!"
v478, "You can't ticket yourself!", "You can't ticket yourself!", "You can't ticket yourself!"
v479, "You can't arrest yourself!", "You can't arrest yourself!", "You can't arrest yourself!"
v480, "You can't want yourself!", "You can't want yourself!", "You can't want yourself!"
v481, "Only cops can use this!", "Only cops can use this!", "Only cops can use this!"
v482, "Only civs can use this!", "Only civs can use this!", "Only civs can use this!"
v483, "%1 (%2) sets a bounty of $%3 on %4s head for %5!", "%1 (%2) sets a bounty of $%3 on %4s head for %5!", "%1 (%2) sets a bounty of $%3 on %4s head for %5!"
v484, "Law(s) were recently changed by the mayor!", "Law(s) were recently changed by the mayor!", "Law(s) were recently changed by the mayor!"
v485, "Tax(es) were recently changed by the mayor!", "Tax(es) were recently changed by the mayor!", "Tax(es) were recently changed by the mayor!"
v486, "%1 packed his bags and shipped off in his clown car!", "%1 packed his bags and shipped off in his clown car!", "%1 packed his bags and shipped off in his clown car!"
v487, "Thanks for all the fish!", "Thanks for all the fish!", "Thanks for all the fish!"
v488, "Mayor", "Mayor", "Mayor"
v489, "The taxes are unchanged!", "The taxes are unchanged!", "The taxes are unchanged!"
v490, "Taxes have been changed!", "Taxes have been changed!", "Taxes have been changed!"
v491, "The electoral frequency must be more than 5 minutes and less than 60 minutes!", "The electoral frequency must be more than 5 minutes and less than 60 minutes!", "The electoral frequency must be more than 5 minutes and less than 60 minutes!"
v492, "Electoral frequency has been changed!", "Electoral frequency has been changed!", "Electoral frequency has been changed!"
v493, "The electoral frequency was recently changed by the mayor!", "The electoral frequency was recently changed by the mayor!", "The electoral frequency was recently changed by the mayor!"
v494, "The frequency is unchanged!", "The frequency is unchanged!", "The frequency is unchanged!"
v495, "The chief stays!", "The chief stays!", "The chief stays!"
v496, "The mayor stays!", "The mayor stays!", "The mayor stays!"
v497, "<t color='#FF0000' align='center'>Bank interest was</t> <t color='#09c100' align='center'>$%1</t> <t color='#25a725' align='center'>(%2)</t>", "<t color='#FF0000' align='center'>Bank interest was</t> <t color='#09c100' align='center'>$%1</t> <t color='#25a725' align='center'>(%2)</t>", "<t color='#FF0000' align='center'>Bank interest was</t> <t color='#09c100' align='center'>$%1</t> <t color='#25a725' align='center'>(%2)</t>"
v498, "<t color='#FF0000' align='center'>You didn't have to pay any bank interest!</t> <t color='#25a725' align='center'>(%1)</t>", "<t color='#FF0000' align='center'>You didn't have to pay any bank interest!</t> <t color='#25a725' align='center'>(%1)</t>", "<t color='#FF0000' align='center'>You didn't have to pay any bank interest!</t> <t color='#25a725' align='center'>(%1)</t>"
v499, "<t color='#FF0000' align='center'>You didn't have enough money to pay the feds your</t> <t color='09c100' align='center'>$%1</t> <t color='#FF0000' align='center'>tax debt, but it will be recovered as soon as you have enough funds!</t>", "<t color='#FF0000' align='center'>You didn't have enough money to pay the feds your</t> <t color='09c100' align='center'>$%1</t> <t color='#FF0000' align='center'>tax debt, but it will be recovered as soon as you have enough funds!</t>", "<t color='#FF0000' align='center'>You didn't have enough money to pay the feds your</t> <t color='09c100' align='center'>$%1</t> <t color='#FF0000' align='center'>tax debt, but it will be recovered as soon as you have enough funds!</t>"
v500, "%1 is now wanted for %2!", "%1 is now wanted for %2!", "%1 is now wanted for %2!"
v501, "You are %1 a vehicle, please wait a few seconds...", "You are %1 a vehicle, please wait a few seconds...", "You are %1 a vehicle, please wait a few seconds..."
v502, "You have %1 a vehicle!", "You have %1 a vehicle!", "You have %1 a vehicle!"
v503, "Refueling", "Refueling", "Refueling"
v504, "Repairing", "Repairing", "Repairing"
v505, "You are already busy doing another task!", "You are already busy doing another task!", "You are already busy doing another task!"
v506, "There are no vehicles nearby that need to be %1!", "There are no vehicles nearby that need to be %1!", "There are no vehicles nearby that need to be %1!"
v507, "Refueled", "Refueled", "Refueled"
v508, "Repaired", "Repaired", "Repaired"
v509, "The vehicle doesn't need to be %1", "The vehicle doesn't need to be %1", "The vehicle doesn't need to be %1"
v510, "This vehicle can't be %1!", "This vehicle can't be %1!", "This vehicle can't be %1!"
v511, "Someone is already voting!", "Someone is already voting!", "Someone is already voting!"
v512, "Air", "Air", "Air"
v513, "Boat", "Boat", "Boat"
v514, "Car", "Car", "Car"
v515, "Pickup", "Pickup", "Pickup"
v516, "Truck", "Truck", "Truck"
v517, "Pistol", "Pistol", "Pistol"
v518, "Rifle", "Rifle", "Rifle"
v519, "You must slide one license to Yes to revoke!", "You must slide one license to Yes to revoke!", "You must slide one license to Yes to revoke!"
v520, "%1 (%2) Has Revoked %3's %4!", "%1 (%2) revoked your %3!", "%1 (%2) revoked your %3!"
v521, "You revoked %1's (%2) %3!", "You revoked %1's (%2) %3!", "You revoked %1's (%2) %3!"
v522, "Checking %1 (%2)...", "Checking %1 (%2)...", "Checking %1 (%2)..."
v523, "License", "License", "License"
v524, "Another cop is checking this player already!", "Another cop is checking this player already!", "Another cop is checking this player already!"
v525, "You can't revoke or query your own licenses!", "You can't revoke or query your own licenses!", "You can't revoke or query your own licenses!"
v526, "You can't scrap an alive vehicle!", "You can't scrap an alive vehicle!", "You can't scrap an alive vehicle!"
v527, "You scrapped the %1!", "You scrapped the %1!", "You scrapped the %1!"
v528, "(Storage) Sent to Server", "(Storage) Sent to Server", "(Storage) Sent to Server"
v529, "(Storage) Loaded from Server", "(Storage) Loaded from Server", "(Storage) Loaded from Server"
v530, "Bad characters in your playername, only ASCII, no Unicode, Cyrillic or Synbols!", "Bad characters in your playername, only ASCII, no Unicode, Cyrillic or Synbols!", "Bad characters in your playername, only ASCII, no Unicode, Cyrillic or Synbols!"
v531, "%1 (%2) isn't incapacitated or has hands up!", "%1 (%2) isn't incapacitated or has their hands up!", "%1 (%2) isn't incapacitated or has their hands up!"
v532, "You don't have %1!", "You don't have %1!", "You don't have %1!"
v533, "%1 Trunk Dropped:<br />", "%1 Trunk Dropped:<br />", "%1 Trunk Dropped:<br />"
v534, "%1 Trunk Lost:<br />", "%1 Trunk Lost:<br />", "%1 Trunk Lost:<br />"
v535, "%1 seconds remain until production completes", "%1 seconds remain until production completes", "%1 seconds remain until production completes"
v536, "Trunk", "Trunk", "Trunk"
v537, "You released your %1 (%2)!", "You released your %1 (%2)!", "You released your %1 (%2)!"
v538, "You can't search your own vehicle!", "You can't search your own vehicle!", "You can't search your own vehicle!"
v539, "Someone's already interacting with %1 (%2)!", "Someone's already interacting with %1 (%2)!", "Someone's already interacting with %1 (%2)!"
v540, "Storage", "Storage", "Storage"
v541, "Inventory", "Inventory", "Inventory"
v542, "Factory", "Factory", "Factory"
v543, "Group", "Group", "Group"
v544, "Area %1 is being taken over!", "Area %1 is being taken over!", "Area %1 is being taken over!"
v545, "Area %1 has been taken over!", "Area %1 has been taken over!", "Area %1 has been taken over!"
v546, "An area has been taken over by bandits!", "An area has been taken over by bandits!", "An area has been taken over by bandits!"
v547, "You scrapped a %1 and received $%2!", "You scrapped a %1 and received $%2!", "You scrapped a %1 and received $%2!"
v548, "<t color='#C9CBCB'>Storage (Air)</t>", "Storage (Air)", "Storage (Air)"
v549, "<t color='#C9CBCB'>Storage (Boat)</t>", "Storage (Boat)", "Storage (Boat)"
STRM_NVGoggles, "Night Vision", "Night Vision", "Night Vision"
STRM_RH_g17, "Glock 17", "Glock 17", "Glock 17"
STRM_RH_g18, "Glock 18", "Glock 18", "Glock 18"
STRM_RH_g19, "Glock 19", "Glock 19", "Glock 19"
STRM_RH_p38, "P38", "P38", "P38"
STRM_RH_p226, "P226", "P226", "P226"
STRM_RH_tt33, "TT33", "TT33", "TT33"
STRM_RH_browninghp, "Browning HP", "Browning HP", "Browning HP"
STRM_RH_uspm, "USP Match", "USP Match", "USP Match"
STRM_RH_usp, "USP Tactical", "USP Tactical", "USP Tactical"
STRM_RH_mk2, "MK2", "MK2", "MK2"
STRM_RH_m9, "M9", "M9", "M9"
STRM_RH_m9c, "M9 (Camo)", "M9 (Camo)", "M9 (Camo)"
STRM_RH_anac, "Anaconda", "Anaconda", "Anaconda"
STRM_RH_anacg, "Anaconda (Gold)", "Anaconda (Gold)", "Anaconda (Gold"
STRM_RH_python, "Python", "Python", "Python"
STRM_RH_deagle, "Desert Eagle", "Desert Eagle", "Desert Eagle"
STRM_RH_deagles, "Desert Eagle (Silver)", "Desert Eagle (Silver)", "Desert Eagle (Silver)"
STRM_RH_m1911, "M1911", "M1911", "M1911"
STRM_RH_m1911old, "M1911 (Old)", "M1911 (Old)", "M1911 (Old)"
STRM_RH_m93r, "M93R", "M93R", "M93R"
STRM_RH_mp5k, "MP5K", "MP5K", "MP5K"
STRM_RH_mp5kpdw, "MP5K PDW", "MP5K PDW", "MP5K PDW"
STRM_RH_mp5a4, "MP5A4", "MP5A4", "MP5A4"
STRM_RH_mp7, "MP7", "MP7", "MP7"
STRM_RH_mp7aim, "MP7 (Aimpoint)", "MP7 (Aimpoint)", "MP7 (Aimpoint)"
STRM_RH_PDW, "PDW", "PDW", "PDW"
STRM_RH_PDW_AIM, "PDW (Aimpoint)", "PDW (Aimpoint)", "PDW (Aimpoint)"
STRM_RH_tec9, "TEC9", "TEC9", "TEC9"
STRM_RH_muzi, "Mini UZI", "Mini UZI", "Mini UZI"
STRM_RH_uzim, "Micro UZI", "Micro UZI", "Micro UZI"
STRM_RH_mac10, "MAC10", "MAC10", "MAC10"
STRM_RH_kriss, "KRISS", "KRISS", "KRISS"
STRM_RH_krissaim, "KRISS (Aimpoint)", "KRISS (Aimpoint)", "KRISS (Aimpoint)"
STRM_tcg_combat, "Mini 12 Guage", "Mini 12 Guage", "Mini 12 Guage"
STRM_tcg_remington, "Remington 870", "KRISS (Aimpoint)", "KRISS (Aimpoint)"
STRM_tcg_mossberg, "Mossberg", "Mossberg", "Mossberg"
STRM_AA12_PMC, "AA12", "AA12", "AA12"
STRM_LeeEnfield, "Lee Enfield", "Lee Enfield", "Lee Enfield"
STRM_HuntingRifle, "Hunting Rifle", "Hunting Rifle", "Hunting Rifle"
STRM_RH_ar10, "AR10", "AR10", "AR10"
STRM_RH_ar10s, "AR10 (Scoped)", "AR10 (Scoped)", "AR10 (Scoped)"
STRM_RH_svu, "SVU", "SVU", "SVU"
STRM_RH_svd, "SVD", "SVD", "SVD"
STRM_RH_svdb, "SVD (Black)", "SVD (Black)", "SVD (Black)"
STRM_RH_svdg, "SVD (Gold)", "SVD (Gold)", "SVD (Gold)"
STRM_M24, "M24", "M24", "M24"
STRM_DMR, "DMR", "DMR", "DMR"
STRM_x26, "x26 Taser", "x26 Taser", "x26 Taser"
STRM_x26Mag, "x26 Taser Mag", "x26 Taser Mag", "x26 Taser Mag"
STRM_RH_m4, "M4", "M4", "M4"
STRM_RH_m4aim, "M4 (Aimpoint)", "M4 (Aimpoint)", "M4 (Aimpoint)"
STRM_RH_akm, "AKM", "AKM", "AKM"
STRM_RH_aks74, "AKS74", "AKS74", "AKS74"
STRM_RH_aks74u, "AKS74U", "AKS74U", "AKS74U"
STRM_RH_17Rnd_9x19_g17, "Glock 17 & 19 Magazine", "Glock 17 & 19 Magazine", "Glock 17 & 19 Magazine"
STRM_RH_8Rnd_9x19_p38, "P38 Magazine", "P38 Magazine", "P38 Magazine"
STRM_RH_8Rnd_762_tt33, "TT33 Magazine", "TT33 Magazine", "TT33 Magazine"
STRM_RH_13Rnd_9x19_bhp, "Browning HP Magazine", "Browning HP Magazine", "Browning HP Magazine"
STRM_RH_12Rnd_45cal_usp, "USP Match Magazine", "USP Match Magazine", "USP Match Magazine"
STRM_RH_15Rnd_9x19_usp, "USP Magazine", "USP Magazine", "USP Magazine"
STRM_RH_10Rnd_22LR_mk2, "MK2 Magazine", "MK2 Magazine", "MK2 Magazine"
STRM_Rnd_9x19_M9, "M9 Magazine", "M9 Magazine", "M9 Magazine"
STRM_RH_6Rnd_44_Mag, "Anaconda Magazine", "Anaconda Magazine", "Anaconda Magazine"
STRM_RH_6Rnd_357_Mag, "Python Magazine", "Python Magazine", "Python Magazine"
STRM_RH_7Rnd_50_AE, "Desert Eagle Magazine", "Desert Eagle Magazine", "Desert Eagle Magazine"
STRM_RH_8Rnd_45cal_m1911, "M1911 Magazine", "M1911 Magazine", "M1911 Magazine"
STRM_RH_19Rnd_9x19_g18, "Glock 18 19Rnd Magazine", "Glock 18 19Rnd Magazine", "Glock 18 19Rnd Magazine"
STRM_RH_33Rnd_9x19_g18, "Glock 18 33Rnd Magazine", "Glock 18 33Rnd Magazine", "Glock 18 33Rnd Magazine"
STRM_RH_20Rnd_9x19_M93, "M93R Magazine", "M93R Magazine", "M93R Magazine"
STRM_RH_9mm_32RND_Mag, "MAC10 & Macro UZI Magazine", "MAC10 & Macro UZI Magazine", "MAC10 & Macro UZI Magazine"
STRM_RH_32Rnd_9x19_Muzi, "Micro UZI Magazine", "Micro UZI Magazine", "Micro UZI Magazine"
STRM_RH_45ACP_30RND_Mag, "KRISS Magazine", "KRISS Magazine", "KRISS Magazine"
STRM_RH_30Rnd_6x35_PDW, "PDW Magazine", "PDW Magazine", "PDW Magazine"
STRM_RH_30Rnd_9x19_tec, "TEC9 Magazine", "TEC9 Magazine", "TEC9 Magazine"
STRM_RH_46x30mm_40RND_Mag, "MP7 & P90 Magazine", "MP7 & P90 Magazine", "MP7 & P90 Magazine"
STRM_Rnd_9x19_MP5, "MP5 Magazine", "MP5 Magazine", "MP5 Magazine"
STRM_8Rnd_B_Beneli_74Slug, "Remington & Mossberg Slugs", "Remington & Mossberg Slugs", "Remington & Mossberg Slugs"
STRM_B_12Gauge_74Slug, "12 Guage Slugs", "12 Guage Slugs", "12 Guage Slugs"
STRM_20Rnd_B_AA12_Pellets, "AA12 Pellets", "AA12 Pellets", "AA12 Pellets"
STRM_10x_303, "Lee Enfield Magazine", "Lee Enfield Magazine", "Lee Enfield Magazine"
STRM_5x_22_LR_17_HMR, "Hunting Rifle Magazine", "Hunting Rifle Magazine", "Hunting Rifle Magazine"
STRM_10Rnd_762x54_SVD, "SVD & SVU Magazine", "SVD & SVU Magazine", "SVD & SVU Magazine"
STRM_20Rnd_762x51_DMR, "DMR Magazine", "DMR Magazine", "DMR Magazine"
STRM_5Rnd_762x51_M24, "M24 Magazine", "M24 Magazine", "M24 Magazine"
STRM_20Rnd_556x45_Stanag, "20Rnd Stanag Magazine", "20Rnd Stanag Magazine", "20Rnd Stanag Magazine"
STRM_30Rnd_556x45_Stanag, "30Rnd Stanag Magazine", "30Rnd Stanag Magazine", "30Rnd Stanag Magazine"
STRM_30Rnd_545x39_AK, "AK Magazine", "AK Magazine", "AK Magazine"
STRM_RH_30Rnd_545x39_AKSU_mag, "AKS74U Magazine", "AKS74U Magazine", "AKS74U Magazine"
STRM_civic, "Honda Civic", "Honda Civic", "Honda Civic"
STRM_Volha_1_TK_CIV_EP1, "Vohla (Blue)", "Vohla (Blue)", "Vohla (Blue)"
STRM_Volha_2_TK_CIV_EP1, "Vohla (Grey)", "Vohla (Grey)", "Vohla (Grey)"
STRM_Lada1_TK_CIV_EP1, "Lada", "Lada", "Lada"
STRM_Lada2_TK_CIV_EP1, "Lada (Hippie)", "Lada (Hippie)", "Lada (Hippie)"
